people_count,occupancy_ratio,avg_person_area,avg_distance,min_distance,spatial_spread,top_region_count,middle_region_count,bottom_region_count,frame_occupancy_density,density_label
2,0.045945,0.040325,0.71323,0.612159,0.320065,1,1,0,0.891076,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
1,0.036663,0.030997,0.457895,0.294207,0.241066,0,0,1,0.927964,LOW
2,0.072823,0.043416,0.378348,0.275583,0.128868,0,1,1,1.971902,LOW
10,0.284213,0.034413,0.369087,0.288125,0.123166,2,8,0,21.067022,MEDIUM
16,0.332949,0.015183,0.110987,0.09795,0.246077,8,8,0,29.982279,HIGH
9,0.207755,0.020817,0.053163,0.02,0.280552,1,2,6,15.648959,MEDIUM
2,0.020001,0.009943,0.305406,0.191093,0.10173,1,1,0,1.404765,LOW
11,0.511147,0.052815,0.027929,0.002,0.399372,4,4,3,31.370125,HIGH
7,0.121348,0.025049,0.336951,0.222911,0.241436,3,1,3,9.596926,MEDIUM
4,0.066109,0.022229,0.782061,0.592338,0.529043,4,0,0,1.882317,LOW
53,0.830463,0.014443,0.081317,0.005369,0.198156,36,8,9,117.757739,HIGH
11,0.337098,0.037079,0.565758,0.418262,0.338714,2,4,5,25.0,MEDIUM
9,0.276766,0.023719,0.301343,0.161484,0.352259,6,2,1,19.472554,MEDIUM
9,0.287068,0.030664,0.355059,0.280848,0.460556,0,2,7,13.622385,MEDIUM
4,0.001,0.001,0.702104,0.470978,0.017489,4,0,0,1.198748,LOW
40,0.597415,0.014172,0.27476,0.236976,0.251607,31,7,2,70.332379,HIGH
12,0.464086,0.035079,0.113478,0.072286,0.425792,0,5,7,25.857611,HIGH
35,0.854211,0.021152,0.057905,0.002,0.051735,2,6,27,139.310496,HIGH
6,0.299812,0.053124,0.481788,0.431494,0.059215,1,0,5,16.304296,MEDIUM
12,0.08,0.008041,0.134059,0.02,0.474808,1,2,9,15.552447,MEDIUM
1,0.016454,0.006273,0.9576,0.723759,0.223389,1,0,0,0.505839,LOW
7,0.08,0.01253,0.095548,0.02,0.403929,3,3,1,8.298553,MEDIUM
1,0.044256,0.060395,0.622444,0.494446,0.425765,0,1,0,1.491387,LOW
1,0.044085,0.039131,0.494277,0.374593,0.149862,0,1,0,0.9233,LOW
18,0.571912,0.036111,0.285126,0.24249,0.310713,2,13,3,34.795517,HIGH
10,0.121923,0.010152,0.483998,0.328731,0.205516,4,5,1,25.0,MEDIUM
3,0.008512,0.027642,0.591283,0.387882,0.02865,1,0,2,2.534768,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.011525,0.001,0.3444,0.24972,0.305104,1,0,2,4.123962,LOW
15,0.739369,0.05374,0.203516,0.171916,0.320695,3,11,1,53.378928,HIGH
8,0.174749,0.021227,0.073065,0.02,0.108543,3,3,2,18.681756,MEDIUM
10,0.414378,0.042711,0.005,0.002,0.379119,8,0,2,33.659765,HIGH
34,0.623035,0.024093,0.126576,0.081709,0.234502,6,23,5,76.221451,HIGH
5,0.130403,0.02326,0.070961,0.02,0.272789,1,4,0,11.23069,MEDIUM
24,0.645751,0.027938,0.253875,0.22374,0.309579,8,11,5,77.80213,HIGH
3,0.040456,0.017554,0.595221,0.454778,0.048224,3,0,0,0.836663,LOW
4,0.03263,0.006546,0.81157,0.62074,0.473261,1,0,3,1.400532,LOW
6,0.08,0.016446,0.308977,0.211006,0.122934,2,3,1,8.644412,MEDIUM
22,0.936597,0.042197,0.203021,0.197354,0.342488,11,11,0,33.661557,HIGH
10,0.217035,0.016263,0.144111,0.02,0.291759,2,4,4,25.0,MEDIUM
10,0.483731,0.034268,0.112339,0.02,0.273088,4,4,2,22.275697,MEDIUM
1,0.015563,0.026446,0.515894,0.372687,0.29414,0,0,1,1.370239,LOW
3,0.003373,0.001,0.683723,0.603728,0.315489,0,2,1,2.779475,LOW
8,0.210726,0.034196,0.412348,0.232147,0.462265,3,4,1,18.265396,MEDIUM
45,0.66752,0.010009,0.237774,0.204753,0.139352,32,12,1,150.0,HIGH
3,0.015881,0.001755,0.205109,0.05,0.152249,1,1,1,2.270998,LOW
12,0.69839,0.054534,0.168132,0.10934,0.29193,2,2,8,21.4845,HIGH
2,0.028383,0.012001,0.459312,0.323241,0.182127,1,1,0,2.685431,LOW
3,0.125901,0.054831,0.918359,0.718272,0.391875,2,0,1,1.491053,LOW
32,0.568684,0.022355,0.075381,0.012042,0.235486,12,20,0,106.022556,HIGH
45,0.710529,0.014765,0.078779,0.002,0.281051,9,32,4,104.141659,HIGH
3,0.336853,0.1,0.359326,0.265269,0.203184,1,2,0,3.376752,MEDIUM
13,0.48606,0.037914,0.191928,0.124666,0.089311,4,4,5,22.959029,HIGH
8,0.259197,0.031273,0.381989,0.263528,0.385269,4,3,1,19.990292,MEDIUM
6,0.369655,0.058148,0.439066,0.346467,0.3945,1,3,2,15.275012,MEDIUM
4,0.084257,0.014999,0.302047,0.181734,0.376467,0,3,1,4.637128,MEDIUM
3,0.01159,0.001,0.732805,0.492989,0.261835,0,2,1,2.824281,LOW
10,0.41072,0.035387,0.257278,0.132801,0.334619,8,0,2,14.267211,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
1,0.02534,0.031461,0.858115,0.753934,0.337328,1,0,0,0.667594,LOW
3,0.038454,0.023556,0.864192,0.757503,0.132025,0,3,0,4.388581,LOW
5,0.369738,0.072595,0.530432,0.347581,0.091405,2,3,0,9.275607,MEDIUM
8,0.192824,0.02248,0.183293,0.059387,0.154618,2,2,4,11.919221,MEDIUM
8,0.108221,0.011283,0.346246,0.261019,0.150128,0,8,0,17.005532,MEDIUM
36,0.471426,0.011652,0.07225,0.002,0.112535,9,22,5,135.896477,HIGH
3,0.242002,0.086391,0.210177,0.029635,0.27106,0,2,1,8.181457,MEDIUM
12,0.185835,0.012215,0.502405,0.341794,0.480882,0,0,12,25.0,MEDIUM
43,0.89651,0.026612,0.118557,0.047781,0.158144,14,12,17,104.502819,HIGH
49,0.556721,0.012106,0.10323,0.032633,0.194397,22,2,25,150.0,HIGH
4,0.188441,0.047617,0.235183,0.077936,0.235395,0,4,0,9.747245,MEDIUM
10,0.141804,0.016154,0.476269,0.376743,0.372249,1,7,2,25.0,MEDIUM
58,0.589621,0.010246,0.184747,0.164916,0.16452,13,32,13,150.0,HIGH
21,0.834038,0.042153,0.080046,0.07115,0.366891,1,10,10,46.313473,HIGH
50,0.65153,0.015219,0.187105,0.126942,0.265397,15,14,21,146.884367,HIGH
5,0.175951,0.030729,0.279906,0.126291,0.168026,3,2,0,6.049698,MEDIUM
4,0.298291,0.067397,0.078248,0.02,0.245092,0,4,0,4.405948,MEDIUM
4,0.031971,0.009962,0.688271,0.541011,0.204095,4,0,0,4.739015,LOW
12,0.200885,0.019222,0.321017,0.227922,0.391736,4,4,4,12.735905,MEDIUM
6,0.183687,0.031062,0.534414,0.4381,0.412056,1,1,4,10.742757,MEDIUM
2,0.042265,0.027158,0.992272,0.750306,0.204495,0,1,1,0.841286,LOW
3,0.024448,0.023889,0.716147,0.547284,0.254944,1,2,0,1.227186,LOW
5,0.084015,0.018615,0.375463,0.201401,0.238031,0,2,3,7.826595,MEDIUM
11,0.221669,0.017763,0.330892,0.171029,0.214854,0,1,10,21.728067,MEDIUM
3,0.048073,0.001,0.483018,0.362496,0.054205,2,1,0,2.73974,LOW
12,0.08,0.006099,0.340751,0.28747,0.277218,5,7,0,25.0,MEDIUM
4,0.029268,0.001,0.420617,0.260655,0.257679,0,4,0,1.607606,LOW
11,0.08,0.006938,0.140721,0.02,0.248753,4,5,2,25.0,MEDIUM
9,0.225297,0.009867,0.204676,0.02,0.116209,3,5,1,20.475449,MEDIUM
9,0.386955,0.044658,0.243287,0.146738,0.143333,3,2,4,22.891483,MEDIUM
2,0.058698,0.027384,0.743055,0.509666,0.408671,1,0,1,2.473993,LOW
19,0.939612,0.050429,0.23469,0.214568,0.292381,11,8,0,31.923992,HIGH
3,0.011199,0.011639,0.621885,0.447869,0.331603,0,3,0,1.384971,LOW
3,0.017103,0.001,0.558186,0.401003,0.315088,2,1,0,2.996268,LOW
33,0.793924,0.023946,0.022866,0.002,0.075744,14,15,4,99.902191,HIGH
8,0.08,0.015314,0.44229,0.265383,0.283411,4,3,1,17.945486,MEDIUM
2,0.013836,0.00767,0.825552,0.68806,0.004175,1,1,0,2.759947,LOW
5,0.168281,0.038277,0.527024,0.334861,0.403211,0,0,5,8.711826,MEDIUM
6,0.230565,0.04288,0.461815,0.317362,0.189684,1,4,1,11.887384,MEDIUM
3,0.001,0.001,0.593494,0.441899,0.178261,1,0,2,1.29515,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
11,0.800436,0.076669,0.024145,0.002,0.173376,4,5,2,28.845184,HIGH
37,0.755604,0.019381,0.157971,0.096911,0.294007,2,15,20,144.978762,HIGH
48,0.748106,0.016813,0.032526,0.021795,0.282526,13,21,14,150.0,HIGH
4,0.057939,0.009466,0.730596,0.626432,0.484172,2,2,0,5.0,LOW
18,0.479133,0.025861,0.010538,0.002,0.14115,1,9,8,71.441882,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
4,0.35714,0.093736,0.311635,0.164954,0.250085,0,2,2,8.879072,MEDIUM
9,0.211117,0.020684,0.134407,0.024073,0.42363,5,4,0,25.0,MEDIUM
9,0.08,0.011761,0.242514,0.171166,0.07695,2,6,1,10.85854,MEDIUM
1,0.064268,0.051789,0.786608,0.653139,0.520462,0,1,0,0.531758,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
48,0.431279,0.016227,0.102557,0.069867,0.233577,20,24,4,76.019697,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.339519,0.1,0.469576,0.367326,0.111786,0,3,0,4.99358,MEDIUM
4,0.043029,0.006749,0.80969,0.653468,0.120827,0,2,2,1.258964,LOW
4,0.400553,0.093406,0.144653,0.02,0.336484,2,2,0,7.411594,MEDIUM
5,0.261757,0.05162,0.456709,0.303052,0.428684,0,2,3,5.56145,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
16,0.845568,0.055157,0.106365,0.071137,0.391693,4,6,6,47.763139,HIGH
49,0.571869,0.013586,0.206977,0.176695,0.234775,13,36,0,150.0,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
55,0.774672,0.013651,0.1974,0.111232,0.175224,6,29,20,112.138944,HIGH
2,0.033187,0.025797,0.582716,0.432001,0.193418,1,1,0,1.330833,LOW
6,0.327587,0.056216,0.426013,0.352579,0.110288,4,0,2,15.562696,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
5,0.12865,0.021822,0.277114,0.217687,0.081015,3,1,1,10.57156,MEDIUM
1,0.001294,0.001,0.757834,0.66671,0.197422,0,1,0,1.581175,LOW
1,0.013167,0.022914,0.668789,0.560176,0.239586,1,0,0,1.30616,LOW
9,0.368929,0.039784,0.224728,0.094424,0.349979,5,4,0,13.426936,MEDIUM
33,0.488667,0.012336,0.087596,0.002,0.36873,21,8,4,100.439717,HIGH
16,0.614468,0.039033,0.146033,0.134806,0.401761,12,3,1,37.024825,HIGH
11,0.162096,0.018554,0.530076,0.471239,0.279915,4,7,0,21.5675,MEDIUM
3,0.01445,0.021958,0.415291,0.218393,0.253727,0,2,1,3.339426,LOW
44,0.629524,0.011919,0.0218,0.002,0.163491,13,19,12,150.0,HIGH
10,0.213,0.026715,0.490891,0.415054,0.215661,2,6,2,13.981617,MEDIUM
5,0.35289,0.072562,0.283363,0.090617,0.23294,1,0,4,5.843508,MEDIUM
11,0.145318,0.006131,0.05,0.02,0.41965,1,9,1,25.0,MEDIUM
11,0.304329,0.020652,0.249379,0.154158,0.25766,8,1,2,14.370794,MEDIUM
10,0.08,0.005,0.405948,0.28563,0.274797,1,5,4,16.296651,MEDIUM
12,0.711584,0.061924,0.192129,0.102619,0.139897,3,4,5,37.789124,HIGH
41,0.765514,0.019301,0.044319,0.011194,0.145443,21,6,14,79.558132,HIGH
4,0.170247,0.036244,0.188617,0.030807,0.346707,3,1,0,4.428657,MEDIUM
2,0.041619,0.039931,0.872436,0.799474,0.261264,1,1,0,1.07125,LOW
4,0.020711,0.0042,0.836239,0.754471,0.450481,0,2,2,2.613683,LOW
40,0.65175,0.017253,0.115493,0.082075,0.370001,15,18,7,82.21254,HIGH
25,0.522792,0.021841,0.007671,0.002,0.073766,4,13,8,72.339752,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
43,0.676046,0.013638,0.14015,0.086153,0.222617,24,16,3,127.890328,HIGH
27,0.700568,0.022543,0.147017,0.131355,0.247648,1,15,11,92.462593,HIGH
3,0.431945,0.1,0.172849,0.079388,0.08913,0,3,0,8.513764,MEDIUM
18,0.767178,0.045773,0.099052,0.059237,0.406251,3,9,6,55.011303,HIGH
30,0.66778,0.025187,0.239727,0.157514,0.305297,2,24,4,82.705761,HIGH
10,0.189505,0.013729,0.365662,0.212347,0.38021,1,7,2,17.654402,MEDIUM
3,0.019889,0.001,0.789394,0.62753,0.336064,2,0,1,1.896597,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.062928,0.014311,0.460123,0.267218,0.530735,1,2,0,0.842543,LOW
3,0.001207,0.001,0.391438,0.241444,0.314179,2,1,0,3.577972,LOW
9,0.27353,0.044243,0.203684,0.086003,0.32035,2,6,1,22.090618,MEDIUM
52,0.659599,0.013503,0.160204,0.095513,0.265063,7,32,13,150.0,HIGH
35,0.934757,0.028839,0.094264,0.034578,0.220394,7,19,9,124.865066,HIGH
58,0.536247,0.012345,0.058093,0.004201,0.289048,24,0,34,150.0,HIGH
4,0.005117,0.001,0.373422,0.174592,0.226733,0,0,4,1.81336,LOW
10,0.59675,0.061756,0.117313,0.033391,0.074949,2,0,8,17.866547,HIGH
34,0.522428,0.016797,0.259106,0.207784,0.360144,16,13,5,120.953717,HIGH
11,0.736081,0.061947,0.1495,0.134034,0.244474,0,3,8,23.860606,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
25,0.672878,0.025171,0.09613,0.045331,0.251077,8,11,6,77.628922,HIGH
15,0.743418,0.041566,0.063254,0.026729,0.148685,0,1,14,30.892855,HIGH
52,0.585516,0.010164,0.175575,0.165072,0.486028,8,44,0,150.0,HIGH
51,0.695457,0.007302,0.07216,0.06189,0.204184,19,3,29,150.0,HIGH
36,0.772332,0.016829,0.005,0.002,0.202259,5,29,2,123.62954,HIGH
3,0.004655,0.013552,0.443949,0.209182,0.436775,2,1,0,3.00732,LOW
44,0.533436,0.007891,0.066649,0.002,0.239737,23,5,16,147.702223,HIGH
10,0.26341,0.02791,0.312387,0.131527,0.462338,1,2,7,21.382541,MEDIUM
3,0.036632,0.012654,0.716889,0.508724,0.121205,0,3,0,3.07471,LOW
58,0.665644,0.00994,0.144551,0.05117,0.285026,7,14,37,150.0,HIGH
58,0.715181,0.01075,0.189958,0.152418,0.093001,14,16,28,150.0,HIGH
4,0.263265,0.061814,0.140794,0.02,0.253168,0,4,0,5.04979,MEDIUM
21,0.541234,0.027565,0.216372,0.134794,0.084787,1,20,0,52.272471,HIGH
7,0.08,0.013847,0.360382,0.202331,0.169088,1,1,5,17.821067,MEDIUM
19,0.690724,0.039548,0.082105,0.037311,0.206192,4,5,10,68.205941,HIGH
5,0.28516,0.055273,0.279198,0.21715,0.357283,0,4,1,5.715152,MEDIUM
3,0.144698,0.046856,0.390397,0.279048,0.431231,0,3,0,4.880446,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
3,0.215264,0.07568,0.132462,0.02,0.346023,0,2,1,8.155905,MEDIUM
42,0.819225,0.019165,0.258079,0.187716,0.443561,9,12,21,125.035398,HIGH
22,0.833759,0.043438,0.097993,0.032296,0.181015,8,13,1,49.638518,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
49,0.782329,0.01205,0.147415,0.133555,0.258349,34,2,13,150.0,HIGH
19,0.570276,0.03002,0.222288,0.199093,0.319516,6,13,0,73.381664,HIGH
52,0.66232,0.015685,0.119453,0.020545,0.026336,30,6,16,80.507924,HIGH
3,0.279989,0.096976,0.385439,0.24664,0.173669,1,2,0,5.457519,MEDIUM
23,0.813212,0.039909,0.046184,0.002,0.228932,3,12,8,64.188996,HIGH
3,0.08,0.030054,0.35047,0.168392,0.05,0,3,0,7.606932,MEDIUM
18,0.772339,0.043392,0.278975,0.260523,0.454378,0,13,5,67.704446,HIGH
42,0.578931,0.015707,0.129309,0.086041,0.32191,13,27,2,150.0,HIGH
6,0.277048,0.045697,0.139756,0.086838,0.303776,1,5,0,6.750144,MEDIUM
4,0.074771,0.018219,0.68599,0.518801,0.271011,0,1,3,2.739655,LOW
1,0.030264,0.025899,0.895459,0.831289,0.363486,0,0,1,1.545897,LOW
6,0.220433,0.032181,0.232329,0.136795,0.349969,2,2,2,13.102634,MEDIUM
24,0.469707,0.021751,0.263746,0.21423,0.359426,3,16,5,70.174498,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
20,0.469091,0.020903,0.19876,0.190932,0.103145,12,5,3,66.571892,HIGH
10,0.231382,0.024794,0.546382,0.370112,0.302821,8,2,0,24.440576,MEDIUM
9,0.368072,0.040839,0.583901,0.486252,0.458974,8,1,0,15.853412,MEDIUM
5,0.302549,0.05869,0.05,0.02,0.313995,1,1,3,13.49981,MEDIUM
7,0.08,0.010111,0.281248,0.092506,0.106126,0,6,1,14.426211,MEDIUM
1,0.023984,0.023096,0.65818,0.489147,0.050593,0,1,0,0.488062,LOW
51,0.718886,0.013729,0.150813,0.097329,0.216906,22,18,11,142.798377,HIGH
11,0.382108,0.035736,0.126355,0.024887,0.206588,2,9,0,23.071101,MEDIUM
27,0.441392,0.014528,0.273654,0.239137,0.195844,9,13,5,91.344166,HIGH
42,0.754466,0.016885,0.22719,0.186918,0.24624,7,17,18,130.860669,HIGH
40,0.617628,0.019605,0.160463,0.141613,0.122835,11,10,19,65.017686,HIGH
46,0.671965,0.013219,0.081681,0.002,0.210104,20,9,17,131.326004,HIGH
3,0.001,0.018383,0.825863,0.643543,0.31666,1,2,0,4.364086,LOW
8,0.102399,0.02374,0.252642,0.092403,0.288734,3,3,2,9.292253,MEDIUM
17,0.48464,0.026613,0.005,0.002,0.435272,1,13,3,56.312236,HIGH
1,0.064999,0.057253,0.656982,0.537582,0.384684,1,0,0,1.407568,LOW
53,0.63527,0.015777,0.098808,0.035232,0.30739,22,31,0,150.0,HIGH
23,0.739772,0.037714,0.097305,0.075406,0.098117,6,8,9,51.671152,HIGH
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
53,0.836208,0.010758,0.10423,0.065284,0.1696,16,7,30,150.0,HIGH
2,0.001,0.004652,0.671209,0.566622,0.157227,0,2,0,2.615664,LOW
2,0.024067,0.017392,0.73762,0.685193,0.099726,1,1,0,3.195849,LOW
6,0.26994,0.045675,0.438424,0.350015,0.194557,1,2,3,9.085813,MEDIUM
4,0.407408,0.1,0.31152,0.152026,0.306195,1,0,3,8.222989,MEDIUM
10,0.369906,0.03759,0.245464,0.192695,0.242507,2,4,4,10.69152,MEDIUM
13,0.774988,0.062694,0.158986,0.134475,0.105481,9,2,2,47.94188,HIGH
17,0.778233,0.043735,0.141142,0.121508,0.36676,3,9,5,43.156126,HIGH
55,0.806732,0.014367,0.242268,0.143227,0.297421,9,34,12,150.0,HIGH
46,0.421231,0.006192,0.19707,0.136078,0.343552,32,4,10,149.50796,HIGH
45,0.55796,0.010749,0.118928,0.053314,0.207438,2,43,0,68.468501,HIGH
8,0.224547,0.030919,0.283123,0.11642,0.378464,7,1,0,17.878026,MEDIUM
3,0.137738,0.050339,0.228543,0.147303,0.338274,0,3,0,7.068842,MEDIUM
4,0.015782,0.001,1.0,0.842808,0.398666,0,2,2,5.0,LOW
11,0.320595,0.021686,0.140063,0.084148,0.545047,5,4,2,12.280256,MEDIUM
35,0.500052,0.012649,0.199422,0.16871,0.30625,0,16,19,113.083406,HIGH
5,0.341913,0.067349,0.387164,0.2505,0.363536,2,3,0,9.591274,MEDIUM
11,0.259643,0.023101,0.595663,0.452179,0.122093,9,2,0,21.604052,MEDIUM
24,0.612126,0.02247,0.055988,0.029889,0.115345,0,10,14,74.097638,HIGH
3,0.197052,0.064907,0.312794,0.125178,0.239986,2,1,0,5.269179,MEDIUM
23,0.882094,0.041145,0.100391,0.095033,0.027985,12,7,4,68.7967,HIGH
10,0.165628,0.010738,0.197394,0.141707,0.33502,0,6,4,17.763196,MEDIUM
12,0.204541,0.019103,0.160108,0.079877,0.37424,1,6,5,25.0,MEDIUM
3,0.001,0.001,0.699405,0.554476,0.045142,2,0,1,1.650002,LOW
19,0.935654,0.053238,0.175872,0.135163,0.40901,3,15,1,33.928855,HIGH
2,0.069217,0.026634,0.598973,0.377328,0.024222,0,0,2,2.580969,LOW
2,0.034545,0.027658,1.0,0.767523,0.434363,1,1,0,1.614941,LOW
14,0.638637,0.050735,0.11436,0.014602,0.131591,0,11,3,25.21625,HIGH
42,0.650239,0.011576,0.151736,0.136882,0.197247,7,8,27,71.581096,HIGH
34,0.513319,0.012885,0.232519,0.162192,0.208559,26,8,0,90.015747,HIGH
41,0.874105,0.024325,0.043935,0.002,0.095825,8,25,8,120.276959,HIGH
14,0.402227,0.031723,0.161097,0.073623,0.434631,8,5,1,55.9477,HIGH
23,0.587457,0.032025,0.11903,0.044414,0.143846,0,20,3,61.586351,HIGH
3,0.114811,0.025044,0.765698,0.648523,0.083477,0,2,1,1.806271,LOW
49,0.66293,0.015147,0.038911,0.002,0.12501,15,0,34,150.0,HIGH
7,0.132138,0.020074,0.242047,0.093644,0.268672,3,2,2,11.570391,MEDIUM
3,0.033249,0.001,0.588741,0.381285,0.095427,0,3,0,4.1098,LOW
11,0.199799,0.014567,0.29464,0.128261,0.275705,2,5,4,21.575869,MEDIUM
0,0.0,0.0,1.0,1.0,0.0,0,0,0,0.0,LOW
4,0.022846,0.005212,0.8556,0.632018,0.403395,0,4,0,5.0,LOW
3,0.014086,0.001,0.706644,0.579863,0.26303,2,1,0,3.159007,LOW
7,0.229728,0.042868,0.314819,0.249151,0.400438,4,2,1,13.674896,MEDIUM
38,0.691304,0.016677,0.11824,0.056648,0.025278,11,27,0,81.148604,HIGH
3,0.048282,0.021653,0.57137,0.425229,0.363184,2,1,0,1.629723,LOW
2,0.025826,0.010127,0.676645,0.504102,0.174909,1,1,0,1.930205,LOW
4,0.090043,0.010593,0.106905,0.02,0.147923,0,3,1,12.258827,MEDIUM
2,0.044986,0.030787,0.484995,0.282008,0.40017,0,2,0,2.93476,LOW
5,0.314029,0.056861,0.475281,0.294811,0.256208,0,4,1,7.224596,MEDIUM
3,0.14758,0.045112,0.281186,0.140621,0.328902,0,3,0,8.644239,MEDIUM
35,0.746398,0.022252,0.180389,0.140052,0.223689,9,11,15,89.830555,HIGH
6,0.391155,0.064677,0.185695,0.059678,0.152153,1,5,0,13.638636,MEDIUM
39,0.720139,0.021032,0.226565,0.206807,0.211854,3,30,6,73.291007,HIGH
5,0.08,0.013752,0.09162,0.02,0.103586,0,5,0,10.006666,MEDIUM
